Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;;;;;;;
2021-05-12 22:19:43,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392605434381430784,izraseven,137,Twitter Web App,1,[];;;;;;;
2021-05-12 22:06:01,b'@CNNIndonesia gue yakin ni org dpt bagian dri bansos',1392601985589805056,rahmat11636652,0,Twitter for Android,0,[];;;;;;;
"2021-05-12 22:02:26,""b'@GyatWidyas @ZHARAF8 @ulil Kita tunggu penanganan korupsi bansos, makin maju atau justru tenggelam'"",1392601084556836864,RinaUmmuZhafira,0,Twitter for Android,0,[]";;;;;;;
2021-05-12 22:01:47,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392600920391700483,BalagiDico,137,Twitter for Android,1,[];;;;;;;
"2021-05-12 22:00:04,""b'@Markonah_002 Bipangers kenapa pada nyinyir masalah palestina ya? Kan harusnya seneng masalah KPK, bansos dll sedikit teralihkan. \nMoslembongs, shia &amp";" nusantaristi harusnya segera sadar kalo di barisan jokowers ada Islamophobic yg mendompleng.'"",1392600490009972737,nevertiten,0,Twitter for Android,0,[]";;;;;;
"2021-05-12 21:58:34,""b'@AmMuliadi @Corona_KafirNw @RachlanNashidik Korupsi lobster gk seberapa om,, koruptor bansos layak  di hukum mati'"",1392600113210531840,AyamJuntay,0,Twitter for Android,0,[]";;;;;;;
2021-05-12 21:37:36,b'@AyahHanif2 @rahung Korupsi di Papua adlh krn NKRI memang koruptif dan dikuasai oligarki.\nBansos yg di jkt aja diembat apa lg dana otsus di Papua.\nIntinya negara ini gagal. Maka wajarlah Papua ingin merdeka. Kalo negara gagal sejatinya semua ga puas dan ingin merdeka. Baru Papua yg ada momentum.',1392594836427972610,HHira_1,2,Twitter for Android,0,[];;;;;;;
"2021-05-12 21:32:10,""b'@WajahPribumiii @panca66 Mereka2 ini ada kasusnya korupsi bansos gak??\n\nWalau Asabri dan Jiwasraya total korupnya gede amat,.\nTp terasa ga sekejam korupsi bansos..'"",1392593467663032321,Drhevo1,0,Twitter for Android,0,[]";;;;;;;
2021-05-12 21:30:13,b'@AlissaWahid Jangan jauh jauh mbak @AlissaWahid  BANSOS aja d koruppp.. hadeuuhhhhh',1392592975482417156,Adehuda4,0,Twitter for Android,0,[];;;;;;;
2021-05-12 21:24:48,b'Pada kagak kebagian bansos ape begimana nih? Sampe ngejarah segala https://t.co/wxosptqwpu',1392591614082576387,zuhzuhzuhh,0,Twitter for Android,0,[];;;;;;;
2021-05-12 21:24:09,b'@MSApunya Pakabar bansos https://t.co/oY5a5Wxq17',1392591452270518273,SarminaUsman,0,Twitter for Android,0,[];;;;;;;
2021-05-12 21:22:58,b'@PutraWadapi Kasus bansos yg melibatkan pejabat dan anak pejabat blum diapa2in https://t.co/iul4z7AGZD',1392591152285585408,SarminaUsman,0,Twitter for Android,0,[];;;;;;;
2021-05-12 21:16:16,b'RT @Djoked2: Ngabalin otaknya malah ada di anusnya. KPK kudu periksa Ngabalin duit korupsi Bansos yg disembunyikan di pantatnya. Qi qi qi.\xe2\x80\xa6',1392589466737332227,Puji83887483,137,Twitter for Android,1,[];;;;;;;
"2021-05-12 21:15:18,""b'RT @PutraWadapi: Jokowi Disebut-sebut di Sidang Suap Bansos, Juliari Batubara: Untuk Percepatan Penyerapan Anggaran Kemensos https://t.co/o\xe2\x80\xa6'"",1392589223232827392,roeslie81,338,Twitter for Android,1,[]";;;;;;;
"2021-05-12 21:04:04,""b'min numpang tanya, apakah bansos covid19 dr Kemensos bisa di alihkan secara sepihak ? apakah di alihkan dari Kemensos https://t.co/VpjPvnvyMk'"",1392586397664432128,jimmyherdyansy2,0,Twitter for Android,0,[]";;;;;;;
2021-05-12 21:00:18,b'@KoneksiRasa @sahidnegara90 @KomandanRmp @rezs_29 @kumenangis_ @dianafithras emang bansos \xf0\x9f\x99\x84',1392585449349152769,Mend0an_,0,Twitter for Android,0,[];;;;;;;
