Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;
"2021-05-08 23:16:24,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391170147486896135,PandirKelana13,215,Twitter for Android,1,[]";
"2021-05-08 23:14:37,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391169697282859008,BabangBachri,215,Twitter for Android,1,[]";
"2021-05-08 23:14:10,""b'RT @_Tarida_Indah_: Partai Lain Mana Suaranya !!\nMendukung KPK Di Bungkam ??\n\nFraksi Partai Demokrat Benny K. Harman :\n""""Ada upaya menggerga\xe2\x80\xa6'"",1391169587090104322,Kumis20191,10,Twitter for Android,1,[]";
"2021-05-08 23:13:58,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391169536028659714,msaid_didu,215,Twitter for Android,1,[]";
"2021-05-08 23:12:52,""b'RT @gadisresidu_b3: 4.Padahal kan lagi marak yang namanya Bansos dari Pemerintah, kok anak anak ini gak kebagian.\n\nBantu SHARE sampai tembu\xe2\x80\xa6'"",1391169259061972992,abi_sasaLL,22,Twitter for Android,1,[]";
2021-05-08 23:11:42,b'@Exc_Herdys @eko_kuntadhi belum tau kau di sini ada partai kumpulan garong.... bansos pun diembat!',1391168964252684288,saudagarovi,0,Twitter Web App,0,[];
"2021-05-08 23:06:02,""b'@UyokBack Mereka nggak tau alasannya kenapa babi tu nggak boleh dimakan, sedangkan dhab boleh ... karena dalil dalam agama Islam ... babi haram, dhab halal walaupun Rasulullah kurang menyukainya ...\nNamun utk cebong dungu ... semuanya halal ... korupsi dana bansos, recehan dari memfitnah'"",1391167539393089543,GarundangGadang,0,Twitter for Android,0,[]";
2021-05-08 23:04:10,b'@andikabina @KompasTV @msaid_didu Biar madam bansos sm ank pk lurah g diusut',1391167067651379204,cibel_tompelan,0,Twitter for Android,0,[];
"2021-05-08 22:53:33,""b'RT @faridwadjdi: Dikira tausiyahnya tentang tanggung jawab penguasa mengurus rakyat dengan baik, larangan mendzolimi dan menindas rakyat, h\xe2\x80\xa6'"",1391164397523927043,FatTitik,63,Twitter for Android,1,[]";
"2021-05-08 22:49:10,""b'RT @faridwadjdi: Dikira tausiyahnya tentang tanggung jawab penguasa mengurus rakyat dengan baik, larangan mendzolimi dan menindas rakyat, h\xe2\x80\xa6'"",1391163291871809536,MIsmail00954575,63,Twitter for Android,1,[]";
"2021-05-08 22:48:35,b'RT @pinterpolitik: Ada yang bilang ini berhubungan dengan kasus bansos. Beneran nggak sih? #politik #pinterpolitik #infografis \nhttps://t.c\xe2\x80\xa6',1391163147428401156,alanesia,1,Twitter for Android,1,""['politik', 'pinterpolitik', 'infografis']""";
"2021-05-08 22:44:38,""b'RT @BennyHarmanID: Ini yang Dilaporkan Risma ke KPK,21 juta data ganda penerima Bansos. Jika laporan Risma betul, KPK harus kuat dan tegar.\xe2\x80\xa6'"",1391162152182960129,WinarniBudi,1215,Twitter for Android,1,[]";
2021-05-08 22:41:50,b'Yg jelasx Bipang Terpleset/di plesetkan akhirx Sukses Laku keras Hingga kabar gembira Dari KaPaK Buat para garong  bgitupun Cicilan Utang menggunung terlupakan yaa ?!\n*Kira2 kasus duit bansos hingga semua BUMN yg duitx di jarah apa berakhir kyk kasus EKTP yaa *balikin duit ?!',1391161450471645189,mathsoul1,0,Twitter for Android,0,[];
2021-05-08 22:40:35,b'RT @SaveMoslem1: Terbongkar\xe2\x9d\x97 Modus untuk menyelamatkan PDIP maling dana bansos :\xf0\x9f\x91\x87\n\n\xf0\x9f\x93\x8c Terungkap\xe2\x9d\x97 Demokrat Duga Penyidik KPK di Kasus Bansos\xe2\x80\xa6',1391161132367302660,Kumis20191,15,Twitter for Android,1,[];
"2021-05-08 22:39:25,""b'@geloraco Firli, jenderal bintang tiga, ukir prestasi makan anak buahnya sendiri, soal harun masiku, madam dan anak lurah di bansos, apalagi aziz syamsudin malah ga ada progresnya.\nKPK dilemahkan korupsi merajalela, target antek\xc2\xb2 PKC kuasai Indonesia.'"",1391160839944630273,MensosJ,0,Twitter for Android,0,[]";
"2021-05-08 22:38:56,""b'@ridwanhr Sing penting rame, korupsi bansos, Jiwasraya, Asabri, BLBI, dll lupa..'"",1391160718985076738,riswan__bae,0,Twitter for Android,0,[]";
"2021-05-08 22:38:22,""b'RT @SaveMoslem1: Haji Munarman mengkritik keras korupsi dana bansos oleh PDIP ini, dan akhirnya kini beliau ditangkap dan ditahan dgn dalih\xe2\x80\xa6'"",1391160576978538496,60dy1o710n,215,Twitter for Android,1,[]";
2021-05-08 22:37:51,b'@JeffBond777 @Dennysiregar7 \xf0\x9f\x98\x82\xf0\x9f\x98\x82 duit kecil lu ributin. Noh bansos d habisin sama Mentri dari partai junjungan luuuuuuuuu.',1391160447684907008,SMoehammadd,0,Twitter for Android,0,[];
2021-05-08 22:36:35,b'RT @erna_st: Politikus Demokrat Duga Penyidik KPK di Kasus Bansos Diberhentikan Lewat Tes\n\nAnggota Komisi Hukum DPR dari Fraksi Partai Demo\xe2\x80\xa6',1391160128372576259,humarihidayat,7,Twitter for Android,1,[];
"2021-05-08 22:36:18,""b'@unilubis @KPK_RI 75 orang itu skrg sedang menangani Kasus apa saja ya, apkh ada yg sdg menangani kasus Bansos dan ekspor benur?  \xf0\x9f\x98\xb1'"",1391160056226353152,wazacky,0,Twitter for Android,0,[]";
2021-05-08 22:35:52,b'RT @SaveMoslem1: Terbongkar\xe2\x9d\x97 Modus untuk menyelamatkan PDIP maling dana bansos :\xf0\x9f\x91\x87\n\n\xf0\x9f\x93\x8c Terungkap\xe2\x9d\x97 Demokrat Duga Penyidik KPK di Kasus Bansos\xe2\x80\xa6',1391159948411691013,60dy1o710n,15,Twitter for Android,1,[];
"2021-05-08 22:31:38,""b'@Jazz24632 @Pencerah__ @aniesbaswedan @basuki_btp Udahlah. Mending lu nasehatin org2 lu. Mini market g ngerugiin uang negara. Beda sama koruptor bansos.\n\nG sadar diri apa? Mslh g henti2, mulai dari bencana alam, smp soal gagalnya rencana. Seolah g pernah dikasih istirahat.\nTp, apa iya, Tuhan mau berpihak sama koruptor?'"",1391158882139918336,GagalkanBuzzeRP,0,Twitter for Android,0,[]";
"2021-05-08 22:30:31,""b'Novel Baswedan\nBuku merah impor daging sapi\nRekening Gendut\nSimulator SIM\nBLBI\nSKL\nNEWMONT NUSA T\nAMMAN\nBANGGAI , REKIND\nBANSOS JULIARI BATUBARA\nJHONLIN BARATAMA\nGUNUNG MADU\nBANK PANIN\nANGIN PRAYITNO\nHONGGO  W , BP MIGAS\nHARUN MASIKU\nBANK CENTURY\nHAMBALANG\nE  KTP\nPETRAL\nTRANS JKT https://t.co/0NemOsIGpL'"",1391158602417643520,mulyati_yayan,1,Twitter for Android,0,[]";
2021-05-08 22:30:10,b'RT @hidayatj84: @satriohendri @idafauziyah @menakertrans Pertanyanya jgn sampai 21 juta penerima bansos yg masi siluman dn bisa disiapkan j\xe2\x80\xa6',1391158514114916354,AryTGunadi,3,Twitter for Android,1,[];
2021-05-08 22:29:15,b'RT @SaveMoslem1: Terbongkar\xe2\x9d\x97 Modus untuk menyelamatkan PDIP maling dana bansos :\xf0\x9f\x91\x87\n\n\xf0\x9f\x93\x8c Terungkap\xe2\x9d\x97 Demokrat Duga Penyidik KPK di Kasus Bansos\xe2\x80\xa6',1391158281037516804,fasyam7,15,Twitter for Android,1,[];
2021-05-08 22:28:18,b'RT @SaveMoslem1: Terbongkar\xe2\x9d\x97 Modus untuk menyelamatkan PDIP maling dana bansos :\xf0\x9f\x91\x87\n\n\xf0\x9f\x93\x8c Terungkap\xe2\x9d\x97 Demokrat Duga Penyidik KPK di Kasus Bansos\xe2\x80\xa6',1391158041995735040,maxaghie,15,Twitter for Android,1,[];
"2021-05-08 22:27:58,""b'Bagi Anda yang tengah menanti pencairan bansos 2021, silakan cek cara mudahnya'"",1391157960089378816,Rohyati99327284,0,Twitter for Android,0,[]";
2021-05-08 22:26:39,b'RT @tamrintomagola: Salah satu kasus besar utama adalah kasus BLBI yg memberi indikasi kuat ke arah petinggi PDI+P.\n\nKasus teranyar dimana\xe2\x80\xa6',1391157625966919683,sentotakur,9,Twitter for iPad,1,[];
