Tanggal,Tweets,ID,Screen Name,Banyak Retweet,Source,Retweet Status,Hashtags;;;
2021-05-09 23:52:19,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391541576044716032,BriliAgung,2340,Twitter for Android,1,[];;
2021-05-09 23:51:57,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391541480485888001,aing166,2340,Twitter for iPhone,1,[];;
2021-05-09 23:51:46,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391541434952544256,i_canggihalfan,2340,Twitter for Android,1,[];;
2021-05-09 23:51:37,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391541398369816576,apryjag_24,2340,Twitter for Android,1,[];;
2021-05-09 23:51:19,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391541322041888770,shuryopoetroeo,2340,Twitter for Android,1,[];;
2021-05-09 23:50:54,b'RT @IMCMushroom: Ternyata Pegawai KPK tak Lolos TKW Sedang Tangani Kasus Korupsi Bansos dan KKP yang Jerat 2 Menteri dari Parpol Koalisi...\xe2\x80\xa6',1391541215510687749,Syarif_sf7,125,Twitter for iPhone,1,[];;;
2021-05-09 23:50:46,b'RT @taslemandra: Aliansi Sabtu\nNastaghfirullah..\n\nPenikmat hasil potongan bansos\nSeperti yang digambarkan pepatah Arab ini:\n\n\xd8\xad\xd8\xa7\xd9\x85\xd9\x8a\xd9\x87\xd8\xa7 \xd8\xad\xd8\xb1\xd8\xa7\xd9\x85\xd9\x8a\xd9\x87\xd8\xa7\xe2\x80\xa6',1391541182518284289,katiksurau,18,Twitter for Android,1,[];;;
2021-05-09 23:50:43,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391541170908528641,caksoleh7,2340,Twitter for Android,1,[];;
2021-05-09 23:50:35,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391541139010854912,meieyh,2340,Twitter for iPhone,1,[];;
2021-05-09 23:50:08,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391541023021535235,NikolaT55123666,2340,Twitter for Android,1,[];;
2021-05-09 23:49:57,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391540978612273153,maaaan_anyatiga,2340,Twitter for Android,1,[];;
2021-05-09 23:49:15,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391540800333307906,Aswadin_D,2340,Twitter Web App,1,[];;
2021-05-09 23:48:53,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391540708280967171,AndySukmaLubis,2340,Twitter for iPhone,1,[];;
2021-05-09 23:48:15,b'RT @febridiansyah: Jadi gini..\nOTT kasus besar yg msh selamatkan muka KPK pasca Revisi UU &amp; Pimpinan baru trnyata ditangani Penyelidik/Peny\xe2\x80\xa6',1391540552156389379,asdinv691,2340,Twitter for iPhone,1,[];;
