Tanggal;Banyak Retweet;Tweet
05/05/2021 02:37;0.0;ngapain nyalahi orba kamu emang gimana korupsi orla kpk hemmm lihat gimana bansos rezim rakyat lapar pesta dansa oohhh omg
05/05/2021 02:38;0.0;faham begal bansos sampai benur banget proses sidik pretel hidup indonesia raya
05/05/2021 02:38;;mbak risma kpk data 21 juta terima bansos bodong fiktif usaha 2 salur bansos abal 2 lengkap skenario  o bansos hak miskin skandal jahat malu masiku firli bongkar  
05/05/2021 02:38;489.0;mbak risma kpk data 21 juta terima bansos bodong fiktif usaha 2 salur bansos banya
05/05/2021 02:39;;tidak 1tahun lebih sop bijak ambigu bonus calo tes hasil palsu alat bekas mafia karantin korupsi bansos mafia masker apada kerumun beda kerumanan  
05/05/2021 02:39;0.0;tolol kalau saya sih tuju kalau maling dbunuh pake adil dtempat saya kalau maling ketangkep moddar massa maling 2 bansos itu gedeg ken bunuh wkwkwkk
05/05/2021 02:40;0.0;gmana kbar madam bansos dan nya
05/05/2021 02:41;0.0;work respect aku usaha 2 ini ultahku dirayain seperti coworkers kta urun bansos thari aku juga gaada karena bilang kerja 4
05/05/2021 02:42;81.0;arti bejat sungguh  perusahaan sedia paket bansos fiktif rezimkacungchinarez
05/05/2021 02:43;1.0;gank koruptor fitnah taliban kaum gorong fitnah juga rampok bansos jamaah
05/05/2021 02:45;0.0;tuju sih miskin sebenernya eh ntar ikut rebut bansos wkwkwkwkwk
05/05/2021 02:51;2.0;imbau pns bima arya himbau atas presiden batal min
05/05/2021 02:51;0.0;korupsi bansos korupsi rugi negara om sampah sampah busuk busuk
05/05/2021 02:54;;untuk aman madam bansos  
05/05/2021 02:56;0.0;sengkarut data bansos rizal ramli skandal jahat malu bansos bantuan sosial rizalramli trirismaharini
05/05/2021 02:56;21.0;sengkarut data bansos rizal ramli skandal jahat malu
05/05/2021 02:57;0.0;ciri maju bikin bijak kalau baik data anggap malas wajar terima bansos sasar
05/05/2021 02:58;0.0;langgar persepsi bangun serang kalau kurupsi bansos sekarang mandeg 2 nama politikus pdip hilang surat dakwa padahal nama hasil sidi libat
05/05/2021 03:01;0.0;korupsi korupsi korupsi dana bansos tidak bikin miskin terus dimatiin sih
05/05/2021 03:03;0.0;bansos emg dapat blt juga dapat 300k dapat emg dasar males ngurus lapor
